City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,18.78,91,95,11.54,ZA,1678033340
1,leh,34.1667,77.5833,-10.2,86,97,0.64,IN,1678033340
2,itarema,-2.9248,-39.9167,29.96,66,67,6.9,BR,1678033340
3,cidreira,-30.1811,-50.2056,24.73,82,47,6.17,BR,1678033340
4,busselton,-33.65,115.3333,13.92,87,0,4.63,AU,1678033340
5,albany,42.6001,-73.9662,4.05,70,99,0.45,US,1678033340
6,cairns,-16.9167,145.7667,24.97,100,75,4.63,AU,1678033224
7,shimoda,34.6667,138.95,7.84,87,96,5.98,JP,1678033341
8,dali,25.7,100.1833,10.01,56,0,2.8,CN,1678033341
9,ponta do sol,32.6667,-17.1,21.51,86,89,3.89,PT,1678033341
10,sao joao da barra,-21.6403,-41.0511,31.05,76,99,5.74,BR,1678033341
11,barrow,71.2906,-156.7887,-21.99,77,100,9.77,US,1678033341
12,disa,24.25,72.1667,26.28,28,5,3.68,IN,1678033341
13,mataura,-46.1927,168.8643,4.15,99,6,1.19,NZ,1678033341
14,sabang,5.8933,95.3214,27.84,71,0,9.66,ID,1678033341
15,vila velha,-20.3297,-40.2925,32.97,65,20,6.26,BR,1678033342
16,dikson,73.5069,80.5464,-33.17,100,77,0.29,RU,1678033342
17,san jeronimo,-11.9472,-75.2829,16.24,54,100,1.14,PE,1678033342
18,qaanaaq,77.484,-69.3632,-4.52,60,100,3.72,GL,1678033342
19,airai,-8.9266,125.4092,14.83,95,99,1.07,TL,1678033342
20,coffs harbour,-30.3,153.1333,22.98,73,7,6.69,AU,1678033342
21,kodiak,57.79,-152.4072,-6.27,86,0,1.54,US,1678033342
22,asau,46.4333,26.4,3.51,69,51,0.55,RO,1678033342
23,muros,42.7762,-9.0603,11.58,89,100,2.28,ES,1678033342
24,punta arenas,-53.15,-70.9167,8.06,93,100,5.14,CL,1678033343
25,miandrivazo,-19.5167,45.4667,25.1,87,95,4.61,MG,1678033343
26,glendive,47.1053,-104.7125,-2.21,86,100,7.2,US,1678033343
27,vestmannaeyjar,63.4427,-20.2734,4.55,81,75,6.17,IS,1678033343
28,vostok,46.4856,135.8833,-5.62,88,9,3.23,RU,1678033343
29,abu samrah,35.3029,37.1841,19.43,35,9,0.93,SY,1678033343
30,ushuaia,-54.8,-68.3,7.79,65,75,2.06,AR,1678033203
31,windhoek,-22.5594,17.0832,28.95,18,0,1.79,NA,1678033344
32,chapais,49.7834,-74.8492,-0.12,88,100,3.47,CA,1678033344
33,leningradskiy,69.3833,178.4167,-21.82,97,100,3.56,RU,1678033344
34,long xuyen,10.3833,105.4167,22.97,73,69,2.93,VN,1678033344
35,obo,5.3998,26.4869,32.94,30,92,1.35,CF,1678033344
36,isangel,-19.55,169.2667,25.12,88,11,3.17,VU,1678033344
37,avera,33.194,-82.5271,20.51,45,0,4.71,US,1678033344
38,sabzevar,36.2126,57.6819,17.01,33,4,1.89,IR,1678033345
39,puerto ayora,-0.7393,-90.3518,28.98,89,25,1.79,EC,1678033345
40,drabiv,49.963,32.1529,0.88,51,56,2.67,UA,1678033345
41,mosquera,4.7059,-74.2302,15.05,82,75,4.12,CO,1678033345
42,grindavik,63.8424,-22.4338,3.97,75,75,7.2,IS,1678033345
43,rikitea,-23.1203,-134.9692,26.33,76,100,7.92,PF,1678033345
44,tasiilaq,65.6145,-37.6368,-1.91,86,21,1.92,GL,1678033345
45,faya,18.3851,42.4509,21.06,52,47,3.19,SA,1678033345
46,mangan,27.5167,88.5333,18.56,69,99,1.7,IN,1678033346
47,ancud,-41.8697,-73.8203,15.68,93,100,5.3,CL,1678033346
48,mar del plata,-38.0023,-57.5575,28.24,75,40,4.63,AR,1678033135
49,taltal,-25.4,-70.4833,22.94,72,98,2.92,CL,1678033346
50,kapit,2.0167,112.9333,23.38,99,100,0.35,MY,1678033346
51,aklavik,68.2191,-135.0107,-34.0,68,0,2.06,CA,1678033346
52,lavrentiya,65.5833,-171.0,-1.82,97,100,10.39,RU,1678033346
53,nosy varika,-20.5833,48.5333,25.37,89,99,2.38,MG,1678033346
